Subject,Channel_Pair,Band,Coherence
H S11 EC.fif,Fp1-F3,Delta,0.24348907504709175
H S11 EC.fif,Fp1-F3,Theta,0.2916095581026539
H S11 EC.fif,Fp1-F3,Alpha,0.5090399381337235
H S11 EC.fif,Fp1-F3,Beta,0.3123365953952886
H S11 EC.fif,Fp1-F3,Gamma,0.27146002786940143
H S11 EC.fif,Fp1-C3,Delta,0.12165893452765644
H S11 EC.fif,Fp1-C3,Theta,0.04564648808933467
H S11 EC.fif,Fp1-C3,Alpha,0.0322971767320337
H S11 EC.fif,Fp1-C3,Beta,0.00915469667787358
H S11 EC.fif,Fp1-C3,Gamma,0.006761252285325973
H S11 EC.fif,Fp1-P3,Delta,0.3082770290592771
H S11 EC.fif,Fp1-P3,Theta,0.35335675734519656
H S11 EC.fif,Fp1-P3,Alpha,0.3178440668850472
H S11 EC.fif,Fp1-P3,Beta,0.21964039906866695
H S11 EC.fif,Fp1-P3,Gamma,0.13857538517095183
H S11 EC.fif,Fp1-O1,Delta,0.09650810817744684
H S11 EC.fif,Fp1-O1,Theta,0.19983613344784026
H S11 EC.fif,Fp1-O1,Alpha,0.40735114391201455
H S11 EC.fif,Fp1-O1,Beta,0.30515014076541597
H S11 EC.fif,Fp1-O1,Gamma,0.33626618894564236
H S11 EC.fif,Fp1-F7,Delta,0.37475871738821237
H S11 EC.fif,Fp1-F7,Theta,0.5232437212864285
H S11 EC.fif,Fp1-F7,Alpha,0.6627190235106999
H S11 EC.fif,Fp1-F7,Beta,0.5297878243098914
H S11 EC.fif,Fp1-F7,Gamma,0.46953118763255236
H S11 EC.fif,Fp1-T3,Delta,0.0620064109577852
H S11 EC.fif,Fp1-T3,Theta,0.04025176023627353
H S11 EC.fif,Fp1-T3,Alpha,0.08733247733933927
H S11 EC.fif,Fp1-T3,Beta,0.016849547680815348
H S11 EC.fif,Fp1-T3,Gamma,0.01256147168755737
H S11 EC.fif,Fp1-T5,Delta,0.05170934344852698
H S11 EC.fif,Fp1-T5,Theta,0.08390029551587488
H S11 EC.fif,Fp1-T5,Alpha,0.13763107743174385
H S11 EC.fif,Fp1-T5,Beta,0.0635198882708209
H S11 EC.fif,Fp1-T5,Gamma,0.015640795299333498
H S11 EC.fif,Fp1-Fz,Delta,0.0766177615344094
H S11 EC.fif,Fp1-Fz,Theta,0.1658757729523871
H S11 EC.fif,Fp1-Fz,Alpha,0.40911419796930476
H S11 EC.fif,Fp1-Fz,Beta,0.24120202835418827
H S11 EC.fif,Fp1-Fz,Gamma,0.24040610810456026
H S11 EC.fif,Fp1-Fp2,Delta,0.6645812897924878
H S11 EC.fif,Fp1-Fp2,Theta,0.7341994802905297
H S11 EC.fif,Fp1-Fp2,Alpha,0.8193751316234859
H S11 EC.fif,Fp1-Fp2,Beta,0.6270355498679867
H S11 EC.fif,Fp1-Fp2,Gamma,0.565414342574672
H S11 EC.fif,Fp1-F4,Delta,0.09022368448558682
H S11 EC.fif,Fp1-F4,Theta,0.1675673777819546
H S11 EC.fif,Fp1-F4,Alpha,0.3861650244247854
H S11 EC.fif,Fp1-F4,Beta,0.17832533621414295
H S11 EC.fif,Fp1-F4,Gamma,0.18948193139652753
H S11 EC.fif,Fp1-C4,Delta,0.207707201676053
H S11 EC.fif,Fp1-C4,Theta,0.08140544985486638
H S11 EC.fif,Fp1-C4,Alpha,0.0549291433806282
H S11 EC.fif,Fp1-C4,Beta,0.035614507549622934
H S11 EC.fif,Fp1-C4,Gamma,0.02143896826232126
H S11 EC.fif,Fp1-P4,Delta,0.4520249641581461
H S11 EC.fif,Fp1-P4,Theta,0.459079171636183
H S11 EC.fif,Fp1-P4,Alpha,0.4007016143519476
H S11 EC.fif,Fp1-P4,Beta,0.39811834508089505
H S11 EC.fif,Fp1-P4,Gamma,0.4141755101462951
H S11 EC.fif,Fp1-O2,Delta,0.06307446926103785
H S11 EC.fif,Fp1-O2,Theta,0.20136572992878887
H S11 EC.fif,Fp1-O2,Alpha,0.4107314140455553
H S11 EC.fif,Fp1-O2,Beta,0.30929695094579596
H S11 EC.fif,Fp1-O2,Gamma,0.3445519079363819
H S11 EC.fif,Fp1-F8,Delta,0.035130686620388235
H S11 EC.fif,Fp1-F8,Theta,0.14033397606702536
H S11 EC.fif,Fp1-F8,Alpha,0.3982093384499349
H S11 EC.fif,Fp1-F8,Beta,0.2648439494477022
H S11 EC.fif,Fp1-F8,Gamma,0.32256917265440604
H S11 EC.fif,Fp1-T4,Delta,0.008958178398598218
H S11 EC.fif,Fp1-T4,Theta,0.005630268275935125
H S11 EC.fif,Fp1-T4,Alpha,0.06332620642420232
H S11 EC.fif,Fp1-T4,Beta,0.007699962750119816
H S11 EC.fif,Fp1-T4,Gamma,0.022260565896375956
H S11 EC.fif,Fp1-T6,Delta,0.10362275433624084
H S11 EC.fif,Fp1-T6,Theta,0.13143447633800576
H S11 EC.fif,Fp1-T6,Alpha,0.21172993698476336
H S11 EC.fif,Fp1-T6,Beta,0.2450286423427491
H S11 EC.fif,Fp1-T6,Gamma,0.315441978801057
H S11 EC.fif,Fp1-Cz,Delta,0.15370084894464214
H S11 EC.fif,Fp1-Cz,Theta,0.08228566610820448
H S11 EC.fif,Fp1-Cz,Alpha,0.0669433312914173
H S11 EC.fif,Fp1-Cz,Beta,0.02230211668642089
H S11 EC.fif,Fp1-Cz,Gamma,0.01289843284660882
H S11 EC.fif,Fp1-Pz,Delta,0.4132607188472553
H S11 EC.fif,Fp1-Pz,Theta,0.5069264328831207
H S11 EC.fif,Fp1-Pz,Alpha,0.42888640391270744
H S11 EC.fif,Fp1-Pz,Beta,0.4089464306040326
H S11 EC.fif,Fp1-Pz,Gamma,0.41190700126918706
H S11 EC.fif,F3-C3,Delta,0.1169113281875948
H S11 EC.fif,F3-C3,Theta,0.17395195273462782
H S11 EC.fif,F3-C3,Alpha,0.28487159387727684
H S11 EC.fif,F3-C3,Beta,0.18115533637213643
H S11 EC.fif,F3-C3,Gamma,0.12366802687594804
H S11 EC.fif,F3-P3,Delta,0.06153347817799485
H S11 EC.fif,F3-P3,Theta,0.13422960813362905
H S11 EC.fif,F3-P3,Alpha,0.14408532289238096
H S11 EC.fif,F3-P3,Beta,0.099855637183401
H S11 EC.fif,F3-P3,Gamma,0.021305136837136286
H S11 EC.fif,F3-O1,Delta,0.25237328304997897
H S11 EC.fif,F3-O1,Theta,0.3218902380248658
H S11 EC.fif,F3-O1,Alpha,0.4354627119653181
H S11 EC.fif,F3-O1,Beta,0.3593141673234691
H S11 EC.fif,F3-O1,Gamma,0.4022767833122592
H S11 EC.fif,F3-F7,Delta,0.126598670296217
H S11 EC.fif,F3-F7,Theta,0.28918948594956556
H S11 EC.fif,F3-F7,Alpha,0.5246173039582029
H S11 EC.fif,F3-F7,Beta,0.43934140189509946
H S11 EC.fif,F3-F7,Gamma,0.46464439723893824
H S11 EC.fif,F3-T3,Delta,0.043702592807179926
H S11 EC.fif,F3-T3,Theta,0.02690408635870062
H S11 EC.fif,F3-T3,Alpha,0.08990169856546895
H S11 EC.fif,F3-T3,Beta,0.03333830938509589
H S11 EC.fif,F3-T3,Gamma,0.05405162709400439
H S11 EC.fif,F3-T5,Delta,0.06515057454542035
H S11 EC.fif,F3-T5,Theta,0.11705685508995452
H S11 EC.fif,F3-T5,Alpha,0.1336525244159866
H S11 EC.fif,F3-T5,Beta,0.06238250545927919
H S11 EC.fif,F3-T5,Gamma,0.030354102271561798
H S11 EC.fif,F3-Fz,Delta,0.4979247629598726
H S11 EC.fif,F3-Fz,Theta,0.6103874678768444
H S11 EC.fif,F3-Fz,Alpha,0.7252682730058055
H S11 EC.fif,F3-Fz,Beta,0.5628912770903521
H S11 EC.fif,F3-Fz,Gamma,0.3843579708087064
H S11 EC.fif,F3-Fp2,Delta,0.08233103092407303
H S11 EC.fif,F3-Fp2,Theta,0.14203965203078509
H S11 EC.fif,F3-Fp2,Alpha,0.3916223468221854
H S11 EC.fif,F3-Fp2,Beta,0.18937543656525999
H S11 EC.fif,F3-Fp2,Gamma,0.21219765730680376
H S11 EC.fif,F3-F4,Delta,0.2284082544242986
H S11 EC.fif,F3-F4,Theta,0.2420854243398285
H S11 EC.fif,F3-F4,Alpha,0.43874438783285624
H S11 EC.fif,F3-F4,Beta,0.23107545167864174
H S11 EC.fif,F3-F4,Gamma,0.19737978823466443
H S11 EC.fif,F3-C4,Delta,0.021927215285916197
H S11 EC.fif,F3-C4,Theta,0.006968203766038409
H S11 EC.fif,F3-C4,Alpha,0.06842980317262194
H S11 EC.fif,F3-C4,Beta,0.006689756759085373
H S11 EC.fif,F3-C4,Gamma,0.014133275334819659
H S11 EC.fif,F3-P4,Delta,0.2705736877640404
H S11 EC.fif,F3-P4,Theta,0.4332111525385318
H S11 EC.fif,F3-P4,Alpha,0.4301519698476513
H S11 EC.fif,F3-P4,Beta,0.429160926861322
H S11 EC.fif,F3-P4,Gamma,0.4486161932901286
H S11 EC.fif,F3-O2,Delta,0.2799442879487424
H S11 EC.fif,F3-O2,Theta,0.37464595596165
H S11 EC.fif,F3-O2,Alpha,0.5392195284125038
H S11 EC.fif,F3-O2,Beta,0.3937672932635655
H S11 EC.fif,F3-O2,Gamma,0.48464527215064024
H S11 EC.fif,F3-F8,Delta,0.03451014173245423
H S11 EC.fif,F3-F8,Theta,0.0038186396853423185
H S11 EC.fif,F3-F8,Alpha,0.14512217199702604
H S11 EC.fif,F3-F8,Beta,0.03962872985766662
H S11 EC.fif,F3-F8,Gamma,0.09304690511152926
H S11 EC.fif,F3-T4,Delta,0.12709922169026794
H S11 EC.fif,F3-T4,Theta,0.166238245776845
H S11 EC.fif,F3-T4,Alpha,0.03071470522126278
H S11 EC.fif,F3-T4,Beta,0.04881913600719288
H S11 EC.fif,F3-T4,Gamma,0.030568849054586213
H S11 EC.fif,F3-T6,Delta,0.4345303288751052
H S11 EC.fif,F3-T6,Theta,0.4634066757830138
H S11 EC.fif,F3-T6,Alpha,0.4297916082551211
H S11 EC.fif,F3-T6,Beta,0.4218121225197148
H S11 EC.fif,F3-T6,Gamma,0.459044467041058
H S11 EC.fif,F3-Cz,Delta,0.09364199721384407
H S11 EC.fif,F3-Cz,Theta,0.10669423014882318
H S11 EC.fif,F3-Cz,Alpha,0.2711526651457512
H S11 EC.fif,F3-Cz,Beta,0.1420710749341342
H S11 EC.fif,F3-Cz,Gamma,0.07973441285992097
H S11 EC.fif,F3-Pz,Delta,0.12187338542328195
H S11 EC.fif,F3-Pz,Theta,0.20262729858476689
H S11 EC.fif,F3-Pz,Alpha,0.2261200149301813
H S11 EC.fif,F3-Pz,Beta,0.22045925281160286
H S11 EC.fif,F3-Pz,Gamma,0.22573658173142183
H S11 EC.fif,C3-P3,Delta,0.3288426110970417
H S11 EC.fif,C3-P3,Theta,0.184724621082079
H S11 EC.fif,C3-P3,Alpha,0.14551184844081394
H S11 EC.fif,C3-P3,Beta,0.15358872286319233
H S11 EC.fif,C3-P3,Gamma,0.10160071550888788
H S11 EC.fif,C3-O1,Delta,0.19474306749371623
H S11 EC.fif,C3-O1,Theta,0.043949083004141735
H S11 EC.fif,C3-O1,Alpha,0.03654785724242515
H S11 EC.fif,C3-O1,Beta,0.03974037535280726
H S11 EC.fif,C3-O1,Gamma,0.06168390110190601
H S11 EC.fif,C3-F7,Delta,0.07609718849801832
H S11 EC.fif,C3-F7,Theta,0.008089130501351932
H S11 EC.fif,C3-F7,Alpha,0.105960300238438
H S11 EC.fif,C3-F7,Beta,0.04618072206605835
H S11 EC.fif,C3-F7,Gamma,0.04401518355497818
H S11 EC.fif,C3-T3,Delta,0.10519085041536413
H S11 EC.fif,C3-T3,Theta,0.09243334676735658
H S11 EC.fif,C3-T3,Alpha,0.20856530526711226
H S11 EC.fif,C3-T3,Beta,0.12337698876986389
H S11 EC.fif,C3-T3,Gamma,0.09699903711286141
